app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,21427
HighResTwoDCNSApps,Router_Only,33913
LowResTwoDCNSApps,Router_Only,4050
TwoDCNSApps,Router_Proxy,406
HighResTwoDCNSApps,Router_Proxy,10116
LowResTwoDCNSApps,Router_Proxy,425
TwoDCNSApps,Router_Cloud,465
HighResTwoDCNSApps,Router_Cloud,4697
LowResTwoDCNSApps,Router_Cloud,445
TwoDCNSApps,Proxy_Only,27674
HighResTwoDCNSApps,Proxy_Only,44734
LowResTwoDCNSApps,Proxy_Only,4663
TwoDCNSApps,Proxy_Cloud,495
HighResTwoDCNSApps,Proxy_Cloud,6742
LowResTwoDCNSApps,Proxy_Cloud,535
TwoDCNSApps,Cloud_Only,724
HighResTwoDCNSApps,Cloud_Only,730
LowResTwoDCNSApps,Cloud_Only,723
TwoDCNSApps,ModuleBased_Router_Proxy,3175
HighResTwoDCNSApps,ModuleBased_Router_Proxy,26527
LowResTwoDCNSApps,ModuleBased_Router_Proxy,474
