app_class,scenario,device_id,device,tuple,energy,app
TwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,5.792149999995092,dcns_1
TwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,6.051499999995223,dcns_0
TwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
TwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,6.041572727267627,dcns_1
TwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
TwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,6.312090909085947,dcns_0
TwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,2.874157844130901,dcns_1
TwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,2.997446116265183,dcns_0
TwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,2.874157844130901,dcns_1
TwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,2.997446116265183,dcns_0
TwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,2.874157844130901,dcns_1
TwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,2.997446116265183,dcns_0
TwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,2.874157844130901,dcns_1
TwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,2.997446116265183,dcns_0
HighResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,5.705699999996165,dcns_1
HighResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,6.224399999996065,dcns_0
HighResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
HighResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,5.951399999995997,dcns_1
HighResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
HighResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,6.492436363632253,dcns_0
HighResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,3.0062407503908593,dcns_1
HighResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,3.1355414278270146,dcns_0
HighResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,3.0062407503908593,dcns_1
HighResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,3.1355414278270146,dcns_0
HighResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,3.0062407503908593,dcns_1
HighResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,3.1355414278270146,dcns_0
HighResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,3.0062407503908593,dcns_1
HighResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,3.1355414278270146,dcns_0
LowResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,3.1986499999970848,dcns_1
LowResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,3.3283249999970885,dcns_0
LowResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
LowResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,3.3363909090878807,dcns_1
LowResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
LowResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,3.4716499999969774,dcns_0
LowResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,2.807682596606072,dcns_1
LowResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,2.928119383591896,dcns_0
LowResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,2.807682596606072,dcns_1
LowResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,2.928119383591896,dcns_0
LowResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,2.807682596606072,dcns_1
LowResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,2.928119383591896,dcns_0
LowResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,2.807682596606072,dcns_1
LowResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,2.928119383591896,dcns_0
TwoDCNSApps,Router_Proxy,5,proxy-server,PTZ_PARAMS_1,0.0821274999981808,dcns_1
TwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT_1,6.397299999994661,dcns_1
TwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT,6.656649999994668,dcns_0
TwoDCNSApps,Router_Proxy,6,d-0,MOTION_VIDEO_STREAM_1,134.1770181817076,dcns_1
TwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
TwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
TwoDCNSApps,Router_Proxy,6,d-0,DETECTED_OBJECT,6.943299999994467,dcns_0
TwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM_1,2.874157844130901,dcns_1
