app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,23087
HighResTwoDCNSApps,Router_Only,1612
LowResTwoDCNSApps,Router_Only,4382
TwoDCNSApps,Router_Proxy,404
HighResTwoDCNSApps,Router_Proxy,1312
LowResTwoDCNSApps,Router_Proxy,414
TwoDCNSApps,Router_Cloud,474
HighResTwoDCNSApps,Router_Cloud,1362
LowResTwoDCNSApps,Router_Cloud,463
TwoDCNSApps,Proxy_Only,30549
HighResTwoDCNSApps,Proxy_Only,1936
LowResTwoDCNSApps,Proxy_Only,5775
TwoDCNSApps,Proxy_Cloud,479
HighResTwoDCNSApps,Proxy_Cloud,1676
LowResTwoDCNSApps,Proxy_Cloud,551
TwoDCNSApps,Cloud_Only,698
HighResTwoDCNSApps,Cloud_Only,1763
LowResTwoDCNSApps,Cloud_Only,688
TwoDCNSApps,ModuleBased_Router_Proxy,3435
HighResTwoDCNSApps,ModuleBased_Router_Proxy,1635
LowResTwoDCNSApps,ModuleBased_Router_Proxy,503
