app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,262
HighResTwoDCNSApps,Router_Only,260
LowResTwoDCNSApps,Router_Only,222
TwoDCNSApps,Router_Proxy,216
HighResTwoDCNSApps,Router_Proxy,202
LowResTwoDCNSApps,Router_Proxy,232
TwoDCNSApps,Router_Cloud,235
HighResTwoDCNSApps,Router_Cloud,272
LowResTwoDCNSApps,Router_Cloud,218
TwoDCNSApps,Proxy_Only,236
HighResTwoDCNSApps,Proxy_Only,266
LowResTwoDCNSApps,Proxy_Only,236
TwoDCNSApps,Proxy_Cloud,304
HighResTwoDCNSApps,Proxy_Cloud,242
LowResTwoDCNSApps,Proxy_Cloud,262
TwoDCNSApps,Cloud_Only,289
HighResTwoDCNSApps,Cloud_Only,324
LowResTwoDCNSApps,Cloud_Only,317
TwoDCNSApps,ModuleBased_Router_Proxy,219
HighResTwoDCNSApps,ModuleBased_Router_Proxy,254
LowResTwoDCNSApps,ModuleBased_Router_Proxy,279
