app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,243
HighResTwoDCNSApps,Router_Only,243
LowResTwoDCNSApps,Router_Only,232
TwoDCNSApps,Router_Proxy,249
HighResTwoDCNSApps,Router_Proxy,210
LowResTwoDCNSApps,Router_Proxy,204
TwoDCNSApps,Router_Cloud,229
HighResTwoDCNSApps,Router_Cloud,238
LowResTwoDCNSApps,Router_Cloud,240
TwoDCNSApps,Proxy_Only,245
HighResTwoDCNSApps,Proxy_Only,235
LowResTwoDCNSApps,Proxy_Only,247
TwoDCNSApps,Proxy_Cloud,273
HighResTwoDCNSApps,Proxy_Cloud,292
LowResTwoDCNSApps,Proxy_Cloud,271
TwoDCNSApps,Cloud_Only,416
HighResTwoDCNSApps,Cloud_Only,314
LowResTwoDCNSApps,Cloud_Only,316
TwoDCNSApps,ModuleBased_Router_Proxy,221
HighResTwoDCNSApps,ModuleBased_Router_Proxy,209
LowResTwoDCNSApps,ModuleBased_Router_Proxy,222
