app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,4908806.0307142865
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,354536.4742600002
TwoDCNSApps,Router_Only,m-0-0 ,327205.7689999987
TwoDCNSApps,Router_Only,m-0-1 ,327205.7689999987
TwoDCNSApps,Router_Only,m-0-2 ,327205.7689999987
TwoDCNSApps,Router_Only,m-0-3 ,327205.7689999987
HighResTwoDCNSApps,Router_Only,cloud ,4871543.718571429
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,408704.36929000204
HighResTwoDCNSApps,Router_Only,m-0-0 ,329872.9290000003
HighResTwoDCNSApps,Router_Only,m-0-1 ,329872.9290000003
HighResTwoDCNSApps,Router_Only,m-0-2 ,329872.9290000003
HighResTwoDCNSApps,Router_Only,m-0-3 ,329872.9290000003
LowResTwoDCNSApps,Router_Only,cloud ,4915401.615357143
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,345450.95752000087
LowResTwoDCNSApps,Router_Only,m-0-0 ,325872.18899999926
LowResTwoDCNSApps,Router_Only,m-0-1 ,325872.18899999926
LowResTwoDCNSApps,Router_Only,m-0-2 ,325872.18899999926
LowResTwoDCNSApps,Router_Only,m-0-3 ,325872.18899999926
TwoDCNSApps,Router_Proxy,cloud ,4913510.145000001
TwoDCNSApps,Router_Proxy,proxy-server ,340491.47879600246
TwoDCNSApps,Router_Proxy,d-0 ,340488.80192000046
TwoDCNSApps,Router_Proxy,m-0-0 ,327205.7689999987
TwoDCNSApps,Router_Proxy,m-0-1 ,327205.7689999987
TwoDCNSApps,Router_Proxy,m-0-2 ,327205.7689999987
TwoDCNSApps,Router_Proxy,m-0-3 ,327205.7689999987
HighResTwoDCNSApps,Router_Proxy,cloud ,4904233.090000002
HighResTwoDCNSApps,Router_Proxy,proxy-server ,349221.6228420011
HighResTwoDCNSApps,Router_Proxy,d-0 ,349085.9440600007
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,329872.9290000003
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,329872.9290000003
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,329872.9290000003
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,329872.9290000003
LowResTwoDCNSApps,Router_Proxy,cloud ,4918148.672499998
LowResTwoDCNSApps,Router_Proxy,proxy-server ,336108.13598800433
LowResTwoDCNSApps,Router_Proxy,d-0 ,336190.2308500009
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,325872.18899999926
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,325872.18899999926
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,325872.18899999926
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,325872.18899999926
TwoDCNSApps,Router_Cloud,cloud ,5098273.998214286
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,340488.80192000046
TwoDCNSApps,Router_Cloud,m-0-0 ,327205.7689999987
TwoDCNSApps,Router_Cloud,m-0-1 ,327205.7689999987
TwoDCNSApps,Router_Cloud,m-0-2 ,327205.7689999987
TwoDCNSApps,Router_Cloud,m-0-3 ,327205.7689999987
