app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,236
HighResTwoDCNSApps,Router_Only,224
LowResTwoDCNSApps,Router_Only,244
TwoDCNSApps,Router_Proxy,247
HighResTwoDCNSApps,Router_Proxy,208
LowResTwoDCNSApps,Router_Proxy,244
TwoDCNSApps,Router_Cloud,230
HighResTwoDCNSApps,Router_Cloud,243
LowResTwoDCNSApps,Router_Cloud,283
TwoDCNSApps,Proxy_Only,275
HighResTwoDCNSApps,Proxy_Only,254
LowResTwoDCNSApps,Proxy_Only,236
TwoDCNSApps,Proxy_Cloud,265
HighResTwoDCNSApps,Proxy_Cloud,237
LowResTwoDCNSApps,Proxy_Cloud,244
TwoDCNSApps,Cloud_Only,293
HighResTwoDCNSApps,Cloud_Only,277
LowResTwoDCNSApps,Cloud_Only,304
TwoDCNSApps,ModuleBased_Router_Proxy,267
HighResTwoDCNSApps,ModuleBased_Router_Proxy,245
LowResTwoDCNSApps,ModuleBased_Router_Proxy,230
