app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,349
HighResTwoDCNSApps,Router_Only,280
LowResTwoDCNSApps,Router_Only,328
TwoDCNSApps,Router_Proxy,255
HighResTwoDCNSApps,Router_Proxy,266
LowResTwoDCNSApps,Router_Proxy,296
TwoDCNSApps,Router_Cloud,310
HighResTwoDCNSApps,Router_Cloud,396
LowResTwoDCNSApps,Router_Cloud,348
TwoDCNSApps,Proxy_Only,312
HighResTwoDCNSApps,Proxy_Only,329
LowResTwoDCNSApps,Proxy_Only,326
TwoDCNSApps,Proxy_Cloud,320
HighResTwoDCNSApps,Proxy_Cloud,331
LowResTwoDCNSApps,Proxy_Cloud,315
TwoDCNSApps,Cloud_Only,435
HighResTwoDCNSApps,Cloud_Only,450
LowResTwoDCNSApps,Cloud_Only,422
TwoDCNSApps,ModuleBased_Router_Proxy,284
HighResTwoDCNSApps,ModuleBased_Router_Proxy,296
LowResTwoDCNSApps,ModuleBased_Router_Proxy,291
