app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,251
HighResTwoDCNSApps,Router_Only,309
LowResTwoDCNSApps,Router_Only,299
TwoDCNSApps,Router_Proxy,224
HighResTwoDCNSApps,Router_Proxy,270
LowResTwoDCNSApps,Router_Proxy,254
TwoDCNSApps,Router_Cloud,268
HighResTwoDCNSApps,Router_Cloud,325
LowResTwoDCNSApps,Router_Cloud,286
TwoDCNSApps,Proxy_Only,273
HighResTwoDCNSApps,Proxy_Only,288
LowResTwoDCNSApps,Proxy_Only,308
TwoDCNSApps,Proxy_Cloud,257
HighResTwoDCNSApps,Proxy_Cloud,306
LowResTwoDCNSApps,Proxy_Cloud,277
TwoDCNSApps,Cloud_Only,408
HighResTwoDCNSApps,Cloud_Only,399
LowResTwoDCNSApps,Cloud_Only,378
TwoDCNSApps,ModuleBased_Router_Proxy,257
HighResTwoDCNSApps,ModuleBased_Router_Proxy,251
LowResTwoDCNSApps,ModuleBased_Router_Proxy,266
