app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,200
HighResTwoDCNSApps,Router_Only,218
LowResTwoDCNSApps,Router_Only,242
TwoDCNSApps,Router_Proxy,210
HighResTwoDCNSApps,Router_Proxy,176
LowResTwoDCNSApps,Router_Proxy,243
TwoDCNSApps,Router_Cloud,258
HighResTwoDCNSApps,Router_Cloud,252
LowResTwoDCNSApps,Router_Cloud,214
TwoDCNSApps,Proxy_Only,202
HighResTwoDCNSApps,Proxy_Only,244
LowResTwoDCNSApps,Proxy_Only,223
TwoDCNSApps,Proxy_Cloud,225
HighResTwoDCNSApps,Proxy_Cloud,227
LowResTwoDCNSApps,Proxy_Cloud,214
TwoDCNSApps,Cloud_Only,297
HighResTwoDCNSApps,Cloud_Only,236
LowResTwoDCNSApps,Cloud_Only,316
TwoDCNSApps,ModuleBased_Router_Proxy,224
HighResTwoDCNSApps,ModuleBased_Router_Proxy,212
LowResTwoDCNSApps,ModuleBased_Router_Proxy,195
