app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,280
HighResTwoDCNSApps,Router_Only,307
LowResTwoDCNSApps,Router_Only,343
TwoDCNSApps,Router_Proxy,248
HighResTwoDCNSApps,Router_Proxy,306
LowResTwoDCNSApps,Router_Proxy,297
TwoDCNSApps,Router_Cloud,286
HighResTwoDCNSApps,Router_Cloud,325
LowResTwoDCNSApps,Router_Cloud,349
TwoDCNSApps,Proxy_Only,307
HighResTwoDCNSApps,Proxy_Only,351
LowResTwoDCNSApps,Proxy_Only,329
TwoDCNSApps,Proxy_Cloud,282
HighResTwoDCNSApps,Proxy_Cloud,289
LowResTwoDCNSApps,Proxy_Cloud,286
TwoDCNSApps,Cloud_Only,396
HighResTwoDCNSApps,Cloud_Only,448
LowResTwoDCNSApps,Cloud_Only,420
TwoDCNSApps,ModuleBased_Router_Proxy,253
HighResTwoDCNSApps,ModuleBased_Router_Proxy,305
LowResTwoDCNSApps,ModuleBased_Router_Proxy,271
