app_class,scenario,device_id,device,tuple,energy,app
TwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,3.3715499999970593,dcns_1
TwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,3.3715499999970593,dcns_0
TwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,6.45272727279311,dcns_1
TwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,3.5167363636332936,dcns_1
TwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,6.45272727279311,dcns_0
TwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,3.5167363636332936,dcns_0
TwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,5.670217821782152,dcns_1
TwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,5.670217821782152,dcns_0
TwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,5.670217821782152,dcns_1
TwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,5.670217821782152,dcns_0
TwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,5.670217821782152,dcns_1
TwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,5.670217821782152,dcns_0
TwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,5.670217821782152,dcns_1
TwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,5.670217821782152,dcns_0
HighResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,6.743099999994733,dcns_1
HighResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,6.743099999994733,dcns_0
HighResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,6.45272727279311,dcns_1
HighResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,7.0334727272672275,dcns_1
HighResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,6.45272727279311,dcns_0
HighResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,7.0334727272672275,dcns_0
HighResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,5.740435643564379,dcns_1
HighResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,5.740435643564379,dcns_0
HighResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,5.740435643564379,dcns_1
HighResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,5.740435643564379,dcns_0
HighResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,5.740435643564379,dcns_1
HighResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,5.740435643564379,dcns_0
HighResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,5.740435643564379,dcns_1
HighResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,5.740435643564379,dcns_0
LowResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,1.685775000018123,dcns_1
LowResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,1.685775000018123,dcns_0
LowResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,6.45272727279311,dcns_1
LowResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,1.7583681818370867,dcns_1
LowResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,6.45272727279311,dcns_0
LowResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,1.7583681818370867,dcns_0
LowResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,5.635108910891066,dcns_1
LowResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,5.635108910891066,dcns_0
LowResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,5.635108910891066,dcns_1
LowResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,5.635108910891066,dcns_0
LowResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,5.635108910891066,dcns_1
LowResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,5.635108910891066,dcns_0
LowResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,5.635108910891066,dcns_1
LowResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,5.635108910891066,dcns_0
