app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,4982907.214642853
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,349564.9615400019
TwoDCNSApps,Router_Only,m-0-0 ,327527.6163333338
TwoDCNSApps,Router_Only,m-0-1 ,327527.6163333338
TwoDCNSApps,Router_Only,m-0-2 ,327527.6163333338
TwoDCNSApps,Router_Only,m-0-3 ,327527.6163333338
HighResTwoDCNSApps,Router_Only,cloud ,4976806.429285712
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,363738.5585866676
HighResTwoDCNSApps,Router_Only,m-0-0 ,328864.5896666665
HighResTwoDCNSApps,Router_Only,m-0-1 ,328864.5896666665
HighResTwoDCNSApps,Router_Only,m-0-2 ,328864.5896666665
HighResTwoDCNSApps,Router_Only,m-0-3 ,328864.5896666665
LowResTwoDCNSApps,Router_Only,cloud ,4985957.607321431
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,342430.23778000154
LowResTwoDCNSApps,Router_Only,m-0-0 ,326859.129666667
LowResTwoDCNSApps,Router_Only,m-0-1 ,326859.129666667
LowResTwoDCNSApps,Router_Only,m-0-2 ,326859.129666667
LowResTwoDCNSApps,Router_Only,m-0-3 ,326859.129666667
TwoDCNSApps,Router_Proxy,cloud ,4986344.280714288
TwoDCNSApps,Router_Proxy,proxy-server ,338628.79990800534
TwoDCNSApps,Router_Proxy,d-0 ,338531.4564600035
TwoDCNSApps,Router_Proxy,m-0-0 ,327527.6163333338
TwoDCNSApps,Router_Proxy,m-0-1 ,327527.6163333338
TwoDCNSApps,Router_Proxy,m-0-2 ,327527.6163333338
TwoDCNSApps,Router_Proxy,m-0-3 ,327527.6163333338
HighResTwoDCNSApps,Router_Proxy,cloud ,4982479.761428574
HighResTwoDCNSApps,Router_Proxy,proxy-server ,345430.7166106708
HighResTwoDCNSApps,Router_Proxy,d-0 ,345127.97113667
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,328864.5896666665
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,328864.5896666665
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,328864.5896666665
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,328864.5896666665
LowResTwoDCNSApps,Router_Proxy,cloud ,4988276.540357148
LowResTwoDCNSApps,Router_Proxy,proxy-server ,335196.78691400925
LowResTwoDCNSApps,Router_Proxy,d-0 ,335231.5484900042
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,326859.129666667
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,326859.129666667
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,326859.129666667
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,326859.129666667
TwoDCNSApps,Router_Cloud,cloud ,5108033.599999974
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,338531.4564600035
TwoDCNSApps,Router_Cloud,m-0-0 ,327527.6163333338
TwoDCNSApps,Router_Cloud,m-0-1 ,327527.6163333338
TwoDCNSApps,Router_Cloud,m-0-2 ,327527.6163333338
TwoDCNSApps,Router_Cloud,m-0-3 ,327527.6163333338
HighResTwoDCNSApps,Router_Cloud,cloud ,5107131.439999977
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,345127.97113667
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,328864.5896666665
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,328864.5896666665
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,328864.5896666665
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,328864.5896666665
LowResTwoDCNSApps,Router_Cloud,cloud ,5107333.396071459
LowResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
LowResTwoDCNSApps,Router_Cloud,d-0 ,335231.5484900042
LowResTwoDCNSApps,Router_Cloud,m-0-0 ,326859.129666667
LowResTwoDCNSApps,Router_Cloud,m-0-1 ,326859.129666667
LowResTwoDCNSApps,Router_Cloud,m-0-2 ,326859.129666667
LowResTwoDCNSApps,Router_Cloud,m-0-3 ,326859.129666667
TwoDCNSApps,Proxy_Only,cloud ,4982827.294642853
TwoDCNSApps,Proxy_Only,proxy-server ,349642.45007801056
TwoDCNSApps,Proxy_Only,d-0 ,0.0
TwoDCNSApps,Proxy_Only,m-0-0 ,327527.6163333338
TwoDCNSApps,Proxy_Only,m-0-1 ,327527.6163333338
TwoDCNSApps,Proxy_Only,m-0-2 ,327527.6163333338
TwoDCNSApps,Proxy_Only,m-0-3 ,327527.6163333338
HighResTwoDCNSApps,Proxy_Only,cloud ,4976646.589285711
HighResTwoDCNSApps,Proxy_Only,proxy-server ,364081.8490906713
HighResTwoDCNSApps,Proxy_Only,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Only,m-0-0 ,328864.5896666665
HighResTwoDCNSApps,Proxy_Only,m-0-1 ,328864.5896666665
HighResTwoDCNSApps,Proxy_Only,m-0-2 ,328864.5896666665
HighResTwoDCNSApps,Proxy_Only,m-0-3 ,328864.5896666665
LowResTwoDCNSApps,Proxy_Only,cloud ,4985917.647321431
LowResTwoDCNSApps,Proxy_Only,proxy-server ,342403.81953401066
LowResTwoDCNSApps,Proxy_Only,d-0 ,0.0
LowResTwoDCNSApps,Proxy_Only,m-0-0 ,326859.129666667
LowResTwoDCNSApps,Proxy_Only,m-0-1 ,326859.129666667
LowResTwoDCNSApps,Proxy_Only,m-0-2 ,326859.129666667
LowResTwoDCNSApps,Proxy_Only,m-0-3 ,326859.129666667
TwoDCNSApps,Proxy_Cloud,cloud ,5108033.599999974
TwoDCNSApps,Proxy_Cloud,proxy-server ,338645.4865680048
TwoDCNSApps,Proxy_Cloud,d-0 ,0.0
TwoDCNSApps,Proxy_Cloud,m-0-0 ,327527.6163333338
TwoDCNSApps,Proxy_Cloud,m-0-1 ,327527.6163333338
TwoDCNSApps,Proxy_Cloud,m-0-2 ,327527.6163333338
TwoDCNSApps,Proxy_Cloud,m-0-3 ,327527.6163333338
HighResTwoDCNSApps,Proxy_Cloud,cloud ,5107131.439999977
HighResTwoDCNSApps,Proxy_Cloud,proxy-server ,345473.65221067064
HighResTwoDCNSApps,Proxy_Cloud,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Cloud,m-0-0 ,328864.5896666665
HighResTwoDCNSApps,Proxy_Cloud,m-0-1 ,328864.5896666665
HighResTwoDCNSApps,Proxy_Cloud,m-0-2 ,328864.5896666665
HighResTwoDCNSApps,Proxy_Cloud,m-0-3 ,328864.5896666665
LowResTwoDCNSApps,Proxy_Cloud,cloud ,5107333.396071459
LowResTwoDCNSApps,Proxy_Cloud,proxy-server ,335205.1302440089
LowResTwoDCNSApps,Proxy_Cloud,d-0 ,0.0
LowResTwoDCNSApps,Proxy_Cloud,m-0-0 ,326859.129666667
LowResTwoDCNSApps,Proxy_Cloud,m-0-1 ,326859.129666667
LowResTwoDCNSApps,Proxy_Cloud,m-0-2 ,326859.129666667
LowResTwoDCNSApps,Proxy_Cloud,m-0-3 ,326859.129666667
TwoDCNSApps,Cloud_Only,cloud ,5119032.7142856745
TwoDCNSApps,Cloud_Only,proxy-server ,0.0
TwoDCNSApps,Cloud_Only,d-0 ,0.0
TwoDCNSApps,Cloud_Only,m-0-0 ,327527.6163333338
TwoDCNSApps,Cloud_Only,m-0-1 ,327527.6163333338
TwoDCNSApps,Cloud_Only,m-0-2 ,327527.6163333338
TwoDCNSApps,Cloud_Only,m-0-3 ,327527.6163333338
HighResTwoDCNSApps,Cloud_Only,cloud ,5140207.499999942
HighResTwoDCNSApps,Cloud_Only,proxy-server ,0.0
HighResTwoDCNSApps,Cloud_Only,d-0 ,0.0
HighResTwoDCNSApps,Cloud_Only,m-0-0 ,328864.5896666665
HighResTwoDCNSApps,Cloud_Only,m-0-1 ,328864.5896666665
HighResTwoDCNSApps,Cloud_Only,m-0-2 ,328864.5896666665
HighResTwoDCNSApps,Cloud_Only,m-0-3 ,328864.5896666665
LowResTwoDCNSApps,Cloud_Only,cloud ,5109815.519999989
LowResTwoDCNSApps,Cloud_Only,proxy-server ,0.0
LowResTwoDCNSApps,Cloud_Only,d-0 ,0.0
LowResTwoDCNSApps,Cloud_Only,m-0-0 ,326859.129666667
LowResTwoDCNSApps,Cloud_Only,m-0-1 ,326859.129666667
LowResTwoDCNSApps,Cloud_Only,m-0-2 ,326859.129666667
LowResTwoDCNSApps,Cloud_Only,m-0-3 ,326859.129666667
TwoDCNSApps,ModuleBased_Router_Proxy,cloud ,4982903.218642863
TwoDCNSApps,ModuleBased_Router_Proxy,proxy-server ,334291.690169594
TwoDCNSApps,ModuleBased_Router_Proxy,d-0 ,356102.48747
TwoDCNSApps,ModuleBased_Router_Proxy,m-0-0 ,327527.6163333338
TwoDCNSApps,ModuleBased_Router_Proxy,m-0-1 ,327527.6163333338
TwoDCNSApps,ModuleBased_Router_Proxy,m-0-2 ,327527.6163333338
TwoDCNSApps,ModuleBased_Router_Proxy,m-0-3 ,327527.6163333338
HighResTwoDCNSApps,ModuleBased_Router_Proxy,cloud ,4976802.433285713
HighResTwoDCNSApps,ModuleBased_Router_Proxy,proxy-server ,333945.7807168175
HighResTwoDCNSApps,ModuleBased_Router_Proxy,d-0 ,356576.4108666672
HighResTwoDCNSApps,ModuleBased_Router_Proxy,m-0-0 ,328864.5896666665
HighResTwoDCNSApps,ModuleBased_Router_Proxy,m-0-1 ,328864.5896666665
HighResTwoDCNSApps,ModuleBased_Router_Proxy,m-0-2 ,328864.5896666665
HighResTwoDCNSApps,ModuleBased_Router_Proxy,m-0-3 ,328864.5896666665
LowResTwoDCNSApps,ModuleBased_Router_Proxy,cloud ,4985953.611321427
LowResTwoDCNSApps,ModuleBased_Router_Proxy,proxy-server ,334501.0481544321
LowResTwoDCNSApps,ModuleBased_Router_Proxy,d-0 ,348252.98327999987
LowResTwoDCNSApps,ModuleBased_Router_Proxy,m-0-0 ,326859.129666667
LowResTwoDCNSApps,ModuleBased_Router_Proxy,m-0-1 ,326859.129666667
LowResTwoDCNSApps,ModuleBased_Router_Proxy,m-0-2 ,326859.129666667
LowResTwoDCNSApps,ModuleBased_Router_Proxy,m-0-3 ,326859.129666667
