app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,4829643.107857143
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,337894.65946714435
TwoDCNSApps,Router_Only,m-0-0 ,322779.5836666667
TwoDCNSApps,Router_Only,m-0-1 ,322779.5836666667
TwoDCNSApps,Router_Only,m-0-2 ,322779.5836666667
TwoDCNSApps,Router_Only,m-0-3 ,322779.5836666667
HighResTwoDCNSApps,Router_Only,cloud ,4929876.625238094
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,352224.7685866681
HighResTwoDCNSApps,Router_Only,m-0-0 ,326167.10366666655
HighResTwoDCNSApps,Router_Only,m-0-1 ,326167.10366666655
HighResTwoDCNSApps,Router_Only,m-0-2 ,326167.10366666655
HighResTwoDCNSApps,Router_Only,m-0-3 ,326167.10366666655
LowResTwoDCNSApps,Router_Only,cloud ,4929769.6563095255
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,337633.98609476275
LowResTwoDCNSApps,Router_Only,m-0-0 ,323996.763666667
LowResTwoDCNSApps,Router_Only,m-0-1 ,323996.763666667
LowResTwoDCNSApps,Router_Only,m-0-2 ,323996.763666667
LowResTwoDCNSApps,Router_Only,m-0-3 ,323996.763666667
TwoDCNSApps,Router_Proxy,cloud ,4830951.0110714305
TwoDCNSApps,Router_Proxy,proxy-server ,331876.6340905749
TwoDCNSApps,Router_Proxy,d-0 ,331646.43639857223
TwoDCNSApps,Router_Proxy,m-0-0 ,322779.5836666667
TwoDCNSApps,Router_Proxy,m-0-1 ,322779.5836666667
TwoDCNSApps,Router_Proxy,m-0-2 ,322779.5836666667
TwoDCNSApps,Router_Proxy,m-0-3 ,322779.5836666667
HighResTwoDCNSApps,Router_Proxy,cloud ,4931816.04119048
HighResTwoDCNSApps,Router_Proxy,proxy-server ,339726.775517337
HighResTwoDCNSApps,Router_Proxy,d-0 ,339437.01295095554
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,326167.10366666655
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,326167.10366666655
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,326167.10366666655
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,326167.10366666655
LowResTwoDCNSApps,Router_Proxy,cloud ,4931155.110297622
LowResTwoDCNSApps,Router_Proxy,proxy-server ,332733.8612083871
LowResTwoDCNSApps,Router_Proxy,d-0 ,332590.07552238135
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,323996.763666667
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,323996.763666667
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,323996.763666667
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,323996.763666667
TwoDCNSApps,Router_Cloud,cloud ,5069283.245714274
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,331646.43639857223
TwoDCNSApps,Router_Cloud,m-0-0 ,322779.5836666667
