app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.139128571432602
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,0.9887999999991007
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,8.86747924523855
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,16.892347340475737
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,8.86747924523855
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,20.26279194047446
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,9.848583833333596
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,9.848583833333596
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,9.848583833333596
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,9.848583833333596
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,9.848583833333596
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,9.848583833333596
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,9.848583833333596
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,9.848583833333596
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.223392380948553
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,2.5049599999980963
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,11.070228866667268
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,41.12514886666621
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,11.070228866667268
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,49.58346206666752
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,23.853383833334103
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,5.752648095230899
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,0.6262400000069247
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,11.126709626191086
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,11.126709626191086
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,11.126709626191086
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,13.241287926189731
