app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,255
HighResTwoDCNSApps,Router_Only,281
LowResTwoDCNSApps,Router_Only,216
TwoDCNSApps,Router_Proxy,203
HighResTwoDCNSApps,Router_Proxy,274
LowResTwoDCNSApps,Router_Proxy,224
TwoDCNSApps,Router_Cloud,229
HighResTwoDCNSApps,Router_Cloud,288
LowResTwoDCNSApps,Router_Cloud,253
TwoDCNSApps,Proxy_Only,308
HighResTwoDCNSApps,Proxy_Only,569
LowResTwoDCNSApps,Proxy_Only,258
TwoDCNSApps,Proxy_Cloud,224
HighResTwoDCNSApps,Proxy_Cloud,314
LowResTwoDCNSApps,Proxy_Cloud,234
TwoDCNSApps,Cloud_Only,347
HighResTwoDCNSApps,Cloud_Only,319
LowResTwoDCNSApps,Cloud_Only,273
TwoDCNSApps,ModuleBased_Router_Proxy,213
HighResTwoDCNSApps,ModuleBased_Router_Proxy,213
LowResTwoDCNSApps,ModuleBased_Router_Proxy,237
