app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2419632.4173214245
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,208045.58939000138
TwoDCNSApps,Router_Only,m-0-0 ,164436.65099999978
TwoDCNSApps,Router_Only,m-0-1 ,164436.65099999978
TwoDCNSApps,Router_Only,m-0-2 ,164436.65099999978
TwoDCNSApps,Router_Only,m-0-3 ,164436.65099999978
HighResTwoDCNSApps,Router_Only,cloud ,2418881.3667857144
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,207655.52743999695
HighResTwoDCNSApps,Router_Only,m-0-0 ,168223.1019999993
HighResTwoDCNSApps,Router_Only,m-0-1 ,168223.1019999993
HighResTwoDCNSApps,Router_Only,m-0-2 ,168223.1019999993
HighResTwoDCNSApps,Router_Only,m-0-3 ,168223.1019999993
LowResTwoDCNSApps,Router_Only,cloud ,2426574.8140178556
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,190754.79610000094
LowResTwoDCNSApps,Router_Only,m-0-0 ,162497.36099999977
LowResTwoDCNSApps,Router_Only,m-0-1 ,162497.36099999977
LowResTwoDCNSApps,Router_Only,m-0-2 ,162497.36099999977
LowResTwoDCNSApps,Router_Only,m-0-3 ,162497.36099999977
TwoDCNSApps,Router_Proxy,cloud ,2424923.6280357153
TwoDCNSApps,Router_Proxy,proxy-server ,176332.82307200113
TwoDCNSApps,Router_Proxy,d-0 ,183641.62630000114
TwoDCNSApps,Router_Proxy,m-0-0 ,164436.65099999978
TwoDCNSApps,Router_Proxy,m-0-1 ,164436.65099999978
TwoDCNSApps,Router_Proxy,m-0-2 ,164436.65099999978
TwoDCNSApps,Router_Proxy,m-0-3 ,164436.65099999978
HighResTwoDCNSApps,Router_Proxy,cloud ,2421621.256071428
HighResTwoDCNSApps,Router_Proxy,proxy-server ,189278.57137199695
HighResTwoDCNSApps,Router_Proxy,d-0 ,196759.3093800011
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,168223.1019999993
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,168223.1019999993
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,168223.1019999993
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,168223.1019999993
LowResTwoDCNSApps,Router_Proxy,cloud ,2426574.8140178523
LowResTwoDCNSApps,Router_Proxy,proxy-server ,169817.8407390041
LowResTwoDCNSApps,Router_Proxy,d-0 ,177083.12627000042
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,162497.36099999977
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,162497.36099999977
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,162497.36099999977
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,162497.36099999977
TwoDCNSApps,Router_Cloud,cloud ,2465101.9276785366
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,183641.62630000114
TwoDCNSApps,Router_Cloud,m-0-0 ,164436.65099999978
TwoDCNSApps,Router_Cloud,m-0-1 ,164436.65099999978
TwoDCNSApps,Router_Cloud,m-0-2 ,164436.65099999978
TwoDCNSApps,Router_Cloud,m-0-3 ,164436.65099999978
HighResTwoDCNSApps,Router_Cloud,cloud ,2873981.5760714035
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,196759.3093800011
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,168223.1019999993
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,168223.1019999993
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,168223.1019999993
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,168223.1019999993
LowResTwoDCNSApps,Router_Cloud,cloud ,2458073.6516964296
LowResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
LowResTwoDCNSApps,Router_Cloud,d-0 ,177083.12627000042
LowResTwoDCNSApps,Router_Cloud,m-0-0 ,162497.36099999977
LowResTwoDCNSApps,Router_Cloud,m-0-1 ,162497.36099999977
LowResTwoDCNSApps,Router_Cloud,m-0-2 ,162497.36099999977
LowResTwoDCNSApps,Router_Cloud,m-0-3 ,162497.36099999977
TwoDCNSApps,Proxy_Only,cloud ,2424843.7080357107
TwoDCNSApps,Proxy_Only,proxy-server ,204812.68489400644
TwoDCNSApps,Proxy_Only,d-0 ,0.0
TwoDCNSApps,Proxy_Only,m-0-0 ,164436.65099999978
TwoDCNSApps,Proxy_Only,m-0-1 ,164436.65099999978
TwoDCNSApps,Proxy_Only,m-0-2 ,164436.65099999978
TwoDCNSApps,Proxy_Only,m-0-3 ,164436.65099999978
HighResTwoDCNSApps,Proxy_Only,cloud ,2408797.7453571428
HighResTwoDCNSApps,Proxy_Only,proxy-server ,207874.7815119964
HighResTwoDCNSApps,Proxy_Only,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Only,m-0-0 ,168223.1019999993
HighResTwoDCNSApps,Proxy_Only,m-0-1 ,168223.1019999993
HighResTwoDCNSApps,Proxy_Only,m-0-2 ,168223.1019999993
HighResTwoDCNSApps,Proxy_Only,m-0-3 ,168223.1019999993
LowResTwoDCNSApps,Proxy_Only,cloud ,2426534.8540178556
LowResTwoDCNSApps,Proxy_Only,proxy-server ,190770.41773501123
LowResTwoDCNSApps,Proxy_Only,d-0 ,0.0
LowResTwoDCNSApps,Proxy_Only,m-0-0 ,162497.36099999977
LowResTwoDCNSApps,Proxy_Only,m-0-1 ,162497.36099999977
LowResTwoDCNSApps,Proxy_Only,m-0-2 ,162497.36099999977
LowResTwoDCNSApps,Proxy_Only,m-0-3 ,162497.36099999977
TwoDCNSApps,Proxy_Cloud,cloud ,2465022.0076785367
TwoDCNSApps,Proxy_Cloud,proxy-server ,184029.61573000212
TwoDCNSApps,Proxy_Cloud,d-0 ,0.0
TwoDCNSApps,Proxy_Cloud,m-0-0 ,164436.65099999978
TwoDCNSApps,Proxy_Cloud,m-0-1 ,164436.65099999978
TwoDCNSApps,Proxy_Cloud,m-0-2 ,164436.65099999978
TwoDCNSApps,Proxy_Cloud,m-0-3 ,164436.65099999978
HighResTwoDCNSApps,Proxy_Cloud,cloud ,2873821.7360713943
HighResTwoDCNSApps,Proxy_Cloud,proxy-server ,197650.51852799705
