app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,10.731054999998356
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,10.670505714283845
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,43.489333393957764
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,56.20729297578572
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,44.921534669743494
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,62.53211321057141
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,37.4847224999996
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,5.678978571427244
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,6.228557142855827
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,20.776145819357307
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,78.87829032860662
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,22.193415473535925
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,83.99989404289222
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,69.95397599999934
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,11.85787500000356
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,12.36606964286066
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,30.518011114286224
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,30.550212814286247
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,32.26763681428622
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,35.952431342856485
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,17.956779499999303
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,20.46013749999923
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,17.956779499999303
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,20.46013749999923
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,17.956779499999303
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,20.46013749999923
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,17.956779499999303
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,20.46013749999923
TwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,12.179749999998126
TwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,12.70173928571231
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,32.50132915142761
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,63.43182870856932
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,33.91299034285616
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,63.661227485715294
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,37.4847224999996
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,12.823499999997003
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,13.373078571425586
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,32.42711189999901
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,122.54034917999459
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,33.825585728570445
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,123.09789861428571
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,69.95397599999934
LowResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,11.85787500000356
LowResTwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,12.36606964286066
LowResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,32.51451651428472
LowResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,33.712419754283005
LowResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,33.91299034285617
LowResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,33.9881276428562
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,17.956779499999303
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,20.46013749999923
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,17.956779499999303
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,20.46013749999923
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,17.956779499999303
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,20.46013749999923
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,17.956779499999303
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,20.46013749999923
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,user_interface_1,7.05550000000178
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_tracker_1,104.44347142856985
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_detector_1,110.21823999994442
TwoDCNSApps,Router_Cloud,cloud ,dcns_0,user_interface,12.70173928571231
TwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_tracker,33.91299034285616
TwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_detector,63.661227485715294
TwoDCNSApps,Router_Cloud,m-0-0 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Cloud,m-0-0 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Cloud,m-0-1 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Cloud,m-0-1 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Cloud,m-0-2 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Cloud,m-0-2 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Cloud,m-0-3 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Cloud,m-0-3 ,dcns_0,motion_detector,37.4847224999996
HighResTwoDCNSApps,Router_Cloud,cloud ,dcns_1,user_interface_1,7.05550000000178
