app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,1093
HighResTwoDCNSApps,Router_Only,16628
LowResTwoDCNSApps,Router_Only,415
TwoDCNSApps,Router_Proxy,392
HighResTwoDCNSApps,Router_Proxy,407
LowResTwoDCNSApps,Router_Proxy,388
TwoDCNSApps,Router_Cloud,485
HighResTwoDCNSApps,Router_Cloud,511
LowResTwoDCNSApps,Router_Cloud,512
TwoDCNSApps,Proxy_Only,452
HighResTwoDCNSApps,Proxy_Only,20380
LowResTwoDCNSApps,Proxy_Only,603
TwoDCNSApps,Proxy_Cloud,631
HighResTwoDCNSApps,Proxy_Cloud,630
LowResTwoDCNSApps,Proxy_Cloud,608
TwoDCNSApps,Cloud_Only,755
HighResTwoDCNSApps,Cloud_Only,754
LowResTwoDCNSApps,Cloud_Only,758
TwoDCNSApps,ModuleBased_Router_Proxy,518
HighResTwoDCNSApps,ModuleBased_Router_Proxy,3152
LowResTwoDCNSApps,ModuleBased_Router_Proxy,504
