app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,277
HighResTwoDCNSApps,Router_Only,281
LowResTwoDCNSApps,Router_Only,300
TwoDCNSApps,Router_Proxy,278
HighResTwoDCNSApps,Router_Proxy,327
LowResTwoDCNSApps,Router_Proxy,250
TwoDCNSApps,Router_Cloud,307
HighResTwoDCNSApps,Router_Cloud,334
LowResTwoDCNSApps,Router_Cloud,286
TwoDCNSApps,Proxy_Only,294
HighResTwoDCNSApps,Proxy_Only,321
LowResTwoDCNSApps,Proxy_Only,316
TwoDCNSApps,Proxy_Cloud,309
HighResTwoDCNSApps,Proxy_Cloud,317
LowResTwoDCNSApps,Proxy_Cloud,316
TwoDCNSApps,Cloud_Only,406
HighResTwoDCNSApps,Cloud_Only,407
LowResTwoDCNSApps,Cloud_Only,415
TwoDCNSApps,ModuleBased_Router_Proxy,280
HighResTwoDCNSApps,ModuleBased_Router_Proxy,280
LowResTwoDCNSApps,ModuleBased_Router_Proxy,286
