app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,279
HighResTwoDCNSApps,Router_Only,282
LowResTwoDCNSApps,Router_Only,278
TwoDCNSApps,Router_Proxy,254
HighResTwoDCNSApps,Router_Proxy,280
LowResTwoDCNSApps,Router_Proxy,289
TwoDCNSApps,Router_Cloud,293
HighResTwoDCNSApps,Router_Cloud,406
LowResTwoDCNSApps,Router_Cloud,359
TwoDCNSApps,Proxy_Only,321
HighResTwoDCNSApps,Proxy_Only,307
LowResTwoDCNSApps,Proxy_Only,316
TwoDCNSApps,Proxy_Cloud,294
HighResTwoDCNSApps,Proxy_Cloud,344
LowResTwoDCNSApps,Proxy_Cloud,290
TwoDCNSApps,Cloud_Only,509
HighResTwoDCNSApps,Cloud_Only,393
LowResTwoDCNSApps,Cloud_Only,411
TwoDCNSApps,ModuleBased_Router_Proxy,264
HighResTwoDCNSApps,ModuleBased_Router_Proxy,277
LowResTwoDCNSApps,ModuleBased_Router_Proxy,329
