app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.5198214285721376
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,3.3438214285713883
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,20.790797592857743
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,40.87852473571417
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,20.790797592857743
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,43.69080653571326
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,23.50618149999964
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,47.401871499999636
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,23.50618149999964
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,47.401871499999636
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,23.50618149999964
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,47.401871499999636
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,23.50618149999964
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,47.401871499999636
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.979642857144463
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,4.627642857143152
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,28.456086427322045
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,154.90091090000033
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,28.456086427322045
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,159.12981832017923
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,46.439041499999604
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,70.33473149999952
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,46.439041499999604
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,70.33473149999952
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,46.439041499999604
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,70.33473149999952
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,46.439041499999604
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,70.33473149999952
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.289910714285179
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,2.701910714288926
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,20.79079759285773
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,20.790797592857743
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,20.79079759285773
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,22.196938492856887
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,12.039751499999626
