app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,326
HighResTwoDCNSApps,Router_Only,321
LowResTwoDCNSApps,Router_Only,286
TwoDCNSApps,Router_Proxy,278
HighResTwoDCNSApps,Router_Proxy,256
LowResTwoDCNSApps,Router_Proxy,287
TwoDCNSApps,Router_Cloud,343
HighResTwoDCNSApps,Router_Cloud,320
LowResTwoDCNSApps,Router_Cloud,305
TwoDCNSApps,Proxy_Only,364
HighResTwoDCNSApps,Proxy_Only,370
LowResTwoDCNSApps,Proxy_Only,334
TwoDCNSApps,Proxy_Cloud,316
HighResTwoDCNSApps,Proxy_Cloud,429
LowResTwoDCNSApps,Proxy_Cloud,298
TwoDCNSApps,Cloud_Only,487
HighResTwoDCNSApps,Cloud_Only,443
LowResTwoDCNSApps,Cloud_Only,413
TwoDCNSApps,ModuleBased_Router_Proxy,282
HighResTwoDCNSApps,ModuleBased_Router_Proxy,356
LowResTwoDCNSApps,ModuleBased_Router_Proxy,307
