app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,271
HighResTwoDCNSApps,Router_Only,307
LowResTwoDCNSApps,Router_Only,329
TwoDCNSApps,Router_Proxy,260
HighResTwoDCNSApps,Router_Proxy,371
LowResTwoDCNSApps,Router_Proxy,288
TwoDCNSApps,Router_Cloud,284
HighResTwoDCNSApps,Router_Cloud,335
LowResTwoDCNSApps,Router_Cloud,291
TwoDCNSApps,Proxy_Only,330
HighResTwoDCNSApps,Proxy_Only,350
LowResTwoDCNSApps,Proxy_Only,412
TwoDCNSApps,Proxy_Cloud,282
HighResTwoDCNSApps,Proxy_Cloud,329
LowResTwoDCNSApps,Proxy_Cloud,341
TwoDCNSApps,Cloud_Only,376
HighResTwoDCNSApps,Cloud_Only,423
LowResTwoDCNSApps,Cloud_Only,431
TwoDCNSApps,ModuleBased_Router_Proxy,315
HighResTwoDCNSApps,ModuleBased_Router_Proxy,299
LowResTwoDCNSApps,ModuleBased_Router_Proxy,290
