app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,251
HighResTwoDCNSApps,Router_Only,268
LowResTwoDCNSApps,Router_Only,278
TwoDCNSApps,Router_Proxy,236
HighResTwoDCNSApps,Router_Proxy,244
LowResTwoDCNSApps,Router_Proxy,251
TwoDCNSApps,Router_Cloud,246
HighResTwoDCNSApps,Router_Cloud,297
LowResTwoDCNSApps,Router_Cloud,299
TwoDCNSApps,Proxy_Only,255
HighResTwoDCNSApps,Proxy_Only,300
LowResTwoDCNSApps,Proxy_Only,287
TwoDCNSApps,Proxy_Cloud,293
HighResTwoDCNSApps,Proxy_Cloud,322
LowResTwoDCNSApps,Proxy_Cloud,299
TwoDCNSApps,Cloud_Only,342
HighResTwoDCNSApps,Cloud_Only,446
LowResTwoDCNSApps,Cloud_Only,385
TwoDCNSApps,ModuleBased_Router_Proxy,247
HighResTwoDCNSApps,ModuleBased_Router_Proxy,269
LowResTwoDCNSApps,ModuleBased_Router_Proxy,252
