app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,285
HighResTwoDCNSApps,Router_Only,276
LowResTwoDCNSApps,Router_Only,276
TwoDCNSApps,Router_Proxy,233
HighResTwoDCNSApps,Router_Proxy,261
LowResTwoDCNSApps,Router_Proxy,259
TwoDCNSApps,Router_Cloud,294
HighResTwoDCNSApps,Router_Cloud,308
LowResTwoDCNSApps,Router_Cloud,285
TwoDCNSApps,Proxy_Only,261
HighResTwoDCNSApps,Proxy_Only,334
LowResTwoDCNSApps,Proxy_Only,292
TwoDCNSApps,Proxy_Cloud,255
HighResTwoDCNSApps,Proxy_Cloud,322
LowResTwoDCNSApps,Proxy_Cloud,281
TwoDCNSApps,Cloud_Only,330
HighResTwoDCNSApps,Cloud_Only,388
LowResTwoDCNSApps,Cloud_Only,418
TwoDCNSApps,ModuleBased_Router_Proxy,233
HighResTwoDCNSApps,ModuleBased_Router_Proxy,279
LowResTwoDCNSApps,ModuleBased_Router_Proxy,311
