app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,231
HighResTwoDCNSApps,Router_Only,287
LowResTwoDCNSApps,Router_Only,291
TwoDCNSApps,Router_Proxy,234
HighResTwoDCNSApps,Router_Proxy,250
LowResTwoDCNSApps,Router_Proxy,279
TwoDCNSApps,Router_Cloud,248
HighResTwoDCNSApps,Router_Cloud,292
LowResTwoDCNSApps,Router_Cloud,286
TwoDCNSApps,Proxy_Only,280
HighResTwoDCNSApps,Proxy_Only,309
LowResTwoDCNSApps,Proxy_Only,305
TwoDCNSApps,Proxy_Cloud,249
HighResTwoDCNSApps,Proxy_Cloud,346
LowResTwoDCNSApps,Proxy_Cloud,294
TwoDCNSApps,Cloud_Only,412
HighResTwoDCNSApps,Cloud_Only,484
LowResTwoDCNSApps,Cloud_Only,418
TwoDCNSApps,ModuleBased_Router_Proxy,252
HighResTwoDCNSApps,ModuleBased_Router_Proxy,285
LowResTwoDCNSApps,ModuleBased_Router_Proxy,255
TwoDCNSApps,Router_Only,230
HighResTwoDCNSApps,Router_Only,296
LowResTwoDCNSApps,Router_Only,276
TwoDCNSApps,Router_Proxy,238
HighResTwoDCNSApps,Router_Proxy,335
LowResTwoDCNSApps,Router_Proxy,285
TwoDCNSApps,Router_Cloud,260
HighResTwoDCNSApps,Router_Cloud,302
LowResTwoDCNSApps,Router_Cloud,281
TwoDCNSApps,Proxy_Only,269
HighResTwoDCNSApps,Proxy_Only,330
LowResTwoDCNSApps,Proxy_Only,305
TwoDCNSApps,Proxy_Cloud,275
HighResTwoDCNSApps,Proxy_Cloud,304
LowResTwoDCNSApps,Proxy_Cloud,310
TwoDCNSApps,Cloud_Only,342
HighResTwoDCNSApps,Cloud_Only,401
LowResTwoDCNSApps,Cloud_Only,398
TwoDCNSApps,ModuleBased_Router_Proxy,231
HighResTwoDCNSApps,ModuleBased_Router_Proxy,298
LowResTwoDCNSApps,ModuleBased_Router_Proxy,291
