,1,Min,Max,Avg
Cloud Energy,2665388603.3134227,2665388603.3134227,2665388603.3134227,2665388603.3134227,
App_Cloud Energy,7496337.085038341,7496337.085038341,7496337.085038341,7496337.085038341,
Proxy Energy,192863334.59257513,192863334.59257513,192863334.59257513,192863334.59257516,
App_Proxy Energy,116729725.96861945,116729725.96861945,116729725.96861945,116729725.96861945,
Router Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,174091245.97365925,174091245.97365925,174091245.97365925,174091245.97365925,
App_Smartphone_1 Energy,158400856.59630397,158400856.59630397,158400856.59630397,158400856.59630397,
Smartphone_2 Energy,174194079.10619593,174194079.10619593,174194079.10619593,174194079.10619593,
App_Smartphone_2 Energy,160169222.82327604,160169222.82327604,160169222.82327604,160169222.82327604,
Smartphone_3 Energy,174192857.93881536,174192857.93881536,174192857.93881536,174192857.93881536,
App_Smartphone_3 Energy,160148223.06351954,160148223.06351954,160148223.06351954,160148223.06351954,
Smartphone_4 Energy,174830462.4900752,174830462.4900752,174830462.4900752,174830462.4900752,
App_Smartphone_4 Energy,171112766.55317205,171112766.55317205,171112766.55317205,171112766.55317205,
Execution time,25617.0,25617.0,25617.0,25617.0,
Delay_1,34.472197270678706,34.472197270678706,34.472197270678706,34.472197270678706,
PLAYER_GAME_STATE,0.19661904751944045,0.19661904751944045,0.19661904751944045,0.19661904751944045,
EEG,34.472197270678706,7.369107069347773,7.369107069347773,34.472197270678706,20.92065217001324,
CONCENTRATION,2.645919023597364,2.645919023597364,2.645919023597364,2.645919023597364,
SENSOR,5.104583333320819,5.104583333320819,5.104583333320819,5.104583333320819,
GLOBAL_GAME_STATE,0.14866666661885877,0.14866666661885877,0.14866666661885877,0.14866666661885877,
Cost of execution in cloud,1968652.7998162506,1968652.7998162506,1968652.7998162506,1968652.7998162506,
Total network usage,8719.592,8719.592,8719.592,8719.592,
