,1,Min,Max,Avg
Cloud Energy,2668276.1571428566,2668276.1571428566,2668276.1571428566,2668276.1571428566,
App_Cloud Energy,276808.11428571603,276808.11428571603,276808.11428571603,276808.11428571603,
Proxy Energy,195134.9331553989,195134.9331553989,195134.9331553989,195134.9331553989,
App_Proxy Energy,128698.83189799053,128698.83189799053,128698.83189799053,128698.83189799053,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,174502.2988799997,174502.2988799997,174502.2988799997,174502.2988799997,
App_Smartphone_1 Energy,165469.51295999953,165469.51295999953,165469.51295999953,165469.51295999953,
Smartphone_2 Energy,174673.2618000003,174673.2618000003,174673.2618000003,174673.2618000003,
App_Smartphone_2 Energy,168409.4706000002,168409.4706000002,168409.4706000002,168409.4706000002,
Smartphone_3 Energy,174916.42128000024,174916.42128000024,174916.42128000024,174916.42128000024,
App_Smartphone_3 Energy,172590.95376000018,172590.95376000018,172590.95376000018,172590.95376000018,
Smartphone_4 Energy,174780.66079999966,174780.66079999966,174780.66079999966,174780.66079999963,
App_Smartphone_4 Energy,170256.35359999977,170256.35359999977,170256.35359999977,170256.35359999977,
Execution time,194.0,194.0,194.0,194.0,
Delay_1,35.05539322916556,35.05539322916556,35.05539322916556,35.05539322916556,
PLAYER_GAME_STATE,0.04821428571434202,0.04821428571434202,0.04821428571434202,0.04821428571434202,
EEG,35.05539322916556,9.560845588234997,9.560845588234997,35.05539322916556,22.30811940870028,
CONCENTRATION,0.15494715073535792,0.15494715073535792,0.15494715073535792,0.15494715073535792,
SENSOR,5.28333333329906,5.28333333329906,5.28333333329906,5.28333333329906,
GLOBAL_GAME_STATE,0.05600000000004002,0.05600000000004002,0.05600000000004002,0.05600000000004002,
Cost of execution in cloud,6062.400000000445,6062.400000000445,6062.400000000445,6062.400000000445,
Total network usage,8320.0,8320.0,8320.0,8320.0,
