,1,Min,Max,Avg
Cloud Energy,2669571.757142857,2669571.757142857,2669571.757142857,2669571.757142857,
App_Cloud Energy,283564.914285716,283564.914285716,283564.914285716,283564.914285716,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,195110.67228500155,195110.67228500155,195110.67228500155,195110.67228500158,
App_Router Energy,128493.3539000048,128493.3539000048,128493.3539000048,128493.3539000048,
Smartphone_1 Energy,174604.6995,174604.6995,174604.6995,174604.6995,
App_Smartphone_1 Energy,167230.44149999978,167230.44149999978,167230.44149999978,167230.44149999978,
Smartphone_2 Energy,174300.0833600009,174300.0833600009,174300.0833600009,174300.0833600009,
App_Smartphone_2 Energy,161992.1211200007,161992.1211200007,161992.1211200007,161992.1211200007,
Smartphone_3 Energy,174103.9147600009,174103.9147600009,174103.9147600009,174103.9147600009,
App_Smartphone_3 Energy,158618.71492000096,158618.71492000096,158618.71492000096,158618.71492000096,
Smartphone_4 Energy,174498.9903800004,174498.9903800004,174498.9903800004,174498.9903800004,
App_Smartphone_4 Energy,165412.61845999956,165412.61845999956,165412.61845999956,165412.61845999956,
Execution time,164.0,164.0,164.0,164.0,
Delay_1,26.845114583333043,26.845114583333043,26.845114583333043,26.845114583333043,
PLAYER_GAME_STATE,0.04821428571434201,0.04821428571434201,0.04821428571434201,0.04821428571434202,
EEG,26.845114583333043,9.886666666666345,9.886666666666345,26.845114583333043,18.365890624999693,
CONCENTRATION,0.18160000000028353,0.18160000000028353,0.18160000000028353,0.18160000000028353,
SENSOR,5.213333333333564,5.213333333333564,5.213333333333564,5.213333333333564,
GLOBAL_GAME_STATE,0.05600000000004002,0.05600000000004002,0.05600000000004002,0.05600000000004002,
Cost of execution in cloud,7899.200000000443,7899.200000000443,7899.200000000443,7899.200000000444,
Total network usage,6932.0,6932.0,6932.0,6932.0,
