,1,Min,Max,Avg
Cloud Energy,2988329.84464284,2988329.84464284,2988329.84464284,2988329.84464284,
App_Cloud Energy,1902940.7249999607,1902940.7249999607,1902940.7249999607,1902940.7249999607,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,174339.8763437497,174339.8763437497,174339.8763437497,174339.8763437497,
App_Smartphone_1 Energy,162676.41971874982,162676.41971874982,162676.41971874982,162676.41971874982,
Smartphone_2 Energy,174427.83790624983,174427.83790624983,174427.83790624983,174427.83790624983,
App_Smartphone_2 Energy,164189.0475312502,164189.0475312502,164189.0475312502,164189.0475312502,
Smartphone_3 Energy,174462.1635937498,174462.1635937498,174462.1635937498,174462.1635937498,
App_Smartphone_3 Energy,164779.3279687503,164779.3279687503,164779.3279687503,164779.3279687503,
Smartphone_4 Energy,174407.70059375005,174407.70059375005,174407.70059375005,174407.70059375005,
App_Smartphone_4 Energy,163842.75696875044,163842.75696875044,163842.75696875044,163842.75696875044,
Execution time,168.0,168.0,168.0,168.0,
Delay_1,231.5521057132475,231.5521057132475,231.5521057132475,231.55210571324747,
PLAYER_GAME_STATE,0.1892857142865177,0.1892857142865177,0.1892857142865177,0.18928571428651772,
EEG,231.5521057132475,6.088894762077078,6.088894762077078,231.5521057132475,118.82050023766229,
CONCENTRATION,0.6194366197802684,0.6194366197802684,0.6194366197802684,0.6194366197802684,
SENSOR,0.7711836236865786,0.7711836236865786,0.7711836236865786,0.7711836236865786,
GLOBAL_GAME_STATE,0.05600000000004002,0.05600000000004002,0.05600000000004002,0.05600000000004002,
Cost of execution in cloud,459809.39999999036,459809.39999999036,459809.39999999036,459809.39999999036,
Total network usage,41761.5,41761.5,41761.5,41761.5,
