,1,Min,Max,Avg
Cloud Energy,2670235.357142857,2670235.357142857,2670235.357142857,2670235.357142857,
App_Cloud Energy,287025.714285716,287025.714285716,287025.714285716,287025.714285716,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,174991.49878000063,174991.49878000063,174991.49878000063,174991.49878000063,
App_Smartphone_1 Energy,173882.02126000062,173882.02126000062,173882.02126000062,173882.02126000062,
Smartphone_2 Energy,174991.4987800006,174991.4987800006,174991.4987800006,174991.4987800006,
App_Smartphone_2 Energy,173882.0212600006,173882.0212600006,173882.0212600006,173882.0212600006,
Smartphone_3 Energy,174991.4987800006,174991.4987800006,174991.4987800006,174991.4987800006,
App_Smartphone_3 Energy,173882.02126000062,173882.02126000062,173882.02126000062,173882.02126000062,
Smartphone_4 Energy,174991.49878000058,174991.49878000058,174991.49878000058,174991.49878000058,
App_Smartphone_4 Energy,173882.0212600006,173882.0212600006,173882.0212600006,173882.0212600006,
Execution time,182.0,182.0,182.0,182.0,
Delay_1,26.82003124999983,26.82003124999983,26.82003124999983,26.82003124999983,
PLAYER_GAME_STATE,0.04821428571434202,0.04821428571434202,0.04821428571434202,0.04821428571434202,
EEG,26.82003124999983,10.0,10.0,26.82003124999983,18.410015624999915,
CONCENTRATION,0.15599999999994907,0.15599999999994907,0.15599999999994907,0.15599999999994907,
SENSOR,9.900000000000091,9.900000000000091,9.900000000000091,9.900000000000091,
GLOBAL_GAME_STATE,0.06914285714297616,0.06914285714297616,0.06914285714297616,0.06914285714297616,
Cost of execution in cloud,8840.00000000044,8840.00000000044,8840.00000000044,8840.00000000044,
Total network usage,5086.0,5086.0,5086.0,5086.0,
