,1,Min,Max,Avg
Cloud Energy,2664000.0,2664000.0,2664000.0,2664000.0,
App_Cloud Energy,0.0,0.0,0.0,0.0,
Proxy Energy,214678.00000000116,214678.00000000116,214678.00000000116,214678.00000000116,
App_Proxy Energy,214678.00000000116,214678.00000000116,214678.00000000116,214678.00000000116,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,174762.53021999926,174762.53021999926,174762.53021999926,174762.53021999926,
App_Smartphone_1 Energy,169944.57173999873,169944.57173999873,169944.57173999873,169944.57173999873,
Smartphone_2 Energy,173868.5429799995,173868.5429799995,173868.5429799995,173868.5429799995,
App_Smartphone_2 Energy,154571.15265999743,154571.15265999743,154571.15265999743,154571.15265999743,
Smartphone_3 Energy,174733.8633400002,174733.8633400002,174733.8633400002,174733.8633400002,
App_Smartphone_3 Energy,169451.6027799994,169451.6027799994,169451.6027799994,169451.6027799994,
Smartphone_4 Energy,174951.31832000046,174951.31832000046,174951.31832000046,174951.31832000046,
App_Smartphone_4 Energy,173191.05944000027,173191.05944000027,173191.05944000027,173191.05944000027,
Execution time,394.0,394.0,394.0,394.0,
Delay_1,139.24268352601192,139.24268352601192,139.24268352601192,139.24268352601192,
PLAYER_GAME_STATE,6.958997001821748,6.958997001821748,6.958997001821748,6.958997001821747,
EEG,139.24268352601192,4.939374206326437,4.939374206326437,139.24268352601192,72.09102886616918,
CONCENTRATION,0.2056554607628265,0.2056554607628265,0.2056554607628265,0.2056554607628265,
SENSOR,192.05493590259456,192.05493590259456,192.05493590259456,192.05493590259456,
GLOBAL_GAME_STATE,0.05600000000004002,0.05600000000004002,0.05600000000004002,0.05600000000004002,
Cost of execution in cloud,0.0,0.0,0.0,0.0,
Total network usage,6605.0,6605.0,6605.0,6605.0,
