,1,Min,Max,Avg
Cloud Energy,2669571.757142857,2669571.757142857,2669571.757142857,2669571.757142857,
App_Cloud Energy,283564.914285716,283564.914285716,283564.914285716,283564.914285716,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,214228.91435000143,214228.91435000143,214228.91435000143,214228.91435000146,
App_Router Energy,214228.91435000143,214228.91435000143,214228.91435000143,214228.91435000146,
Smartphone_1 Energy,174878.19537999984,174878.19537999984,174878.19537999984,174878.19537999984,
App_Smartphone_1 Energy,171933.6034599982,171933.6034599982,171933.6034599982,171933.6034599982,
Smartphone_2 Energy,174847.77753999975,174847.77753999975,174847.77753999975,174847.77753999978,
App_Smartphone_2 Energy,171410.52417999864,171410.52417999864,171410.52417999864,171410.52417999864,
Smartphone_3 Energy,174605.45281999974,174605.45281999974,174605.45281999974,174605.45281999974,
App_Smartphone_3 Energy,167243.3959399979,167243.3959399979,167243.3959399979,167243.3959399979,
Smartphone_4 Energy,174651.78199999992,174651.78199999992,174651.78199999992,174651.78199999992,
App_Smartphone_4 Energy,168040.09399999728,168040.09399999728,168040.09399999728,168040.09399999728,
Execution time,264.0,264.0,264.0,264.0,
Delay_1,83.7059414168942,83.7059414168942,83.7059414168942,83.7059414168942,
PLAYER_GAME_STATE,0.04821428571434201,0.04821428571434201,0.04821428571434201,0.04821428571434202,
EEG,83.7059414168942,3.628354274501673,3.628354274501673,83.7059414168942,43.66714784569794,
CONCENTRATION,0.10726640076872254,0.10726640076872254,0.10726640076872254,0.10726640076872256,
SENSOR,98.88839179233295,98.88839179233295,98.88839179233295,98.88839179233294,
GLOBAL_GAME_STATE,0.05600000000004002,0.05600000000004002,0.05600000000004002,0.05600000000004002,
Cost of execution in cloud,7899.200000000443,7899.200000000443,7899.200000000443,7899.200000000444,
Total network usage,8720.5,8720.5,8720.5,8720.5,
