,1,Min,Max,Avg
Cloud Energy,2664000.0,2664000.0,2664000.0,2664000.0,
App_Cloud Energy,0.0,0.0,0.0,0.0,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,214678.00000000146,214678.00000000146,214678.00000000146,214678.00000000148,
App_Router Energy,214678.00000000146,214678.00000000146,214678.00000000146,214678.00000000148,
Smartphone_1 Energy,174989.56458000027,174989.56458000027,174989.56458000027,174989.56458000027,
App_Smartphone_1 Energy,173848.75985999964,173848.75985999964,173848.75985999964,173848.75985999964,
Smartphone_2 Energy,174879.31081714263,174879.31081714263,174879.31081714263,174879.31081714263,
App_Smartphone_2 Energy,171952.78503428478,171952.78503428478,171952.78503428478,171952.78503428478,
Smartphone_3 Energy,174638.64979999972,174638.64979999972,174638.64979999972,174638.64979999972,
App_Smartphone_3 Energy,167814.2665999975,167814.2665999975,167814.2665999975,167814.2665999975,
Smartphone_4 Energy,174854.3945399997,174854.3945399997,174854.3945399997,174854.3945399997,
App_Smartphone_4 Energy,171524.31317999936,171524.31317999936,171524.31317999936,171524.31317999936,
Execution time,404.0,404.0,404.0,404.0,
Delay_1,127.63720985643134,127.63720985643134,127.63720985643134,127.63720985643134,
PLAYER_GAME_STATE,3.059304059995971,3.059304059995971,3.059304059995971,3.0593040599959713,
EEG,127.63720985643134,3.514963065126661,3.514963065126661,127.63720985643134,65.576086460779,
CONCENTRATION,0.2646561243169028,0.2646561243169028,0.2646561243169028,0.2646561243169028,
SENSOR,178.99573384170438,178.99573384170438,178.99573384170438,178.99573384170438,
GLOBAL_GAME_STATE,0.05600000000004002,0.05600000000004002,0.05600000000004002,0.05600000000004002,
Cost of execution in cloud,0.0,0.0,0.0,0.0,
Total network usage,3658.5,3658.5,3658.5,3658.5,
