,1,Min,Max,Avg
Cloud Energy,2668276.1571428566,2668276.1571428566,2668276.1571428566,2668276.1571428566,
App_Cloud Energy,276808.11428571603,276808.11428571603,276808.11428571603,276808.11428571603,
Proxy Energy,214149.85478500134,214149.85478500134,214149.85478500134,214149.85478500134,
App_Proxy Energy,213970.47319000136,213970.47319000136,213970.47319000136,213970.47319000136,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,174834.72677999942,174834.72677999942,174834.72677999942,174834.72677999942,
App_Smartphone_1 Energy,171186.09725999917,171186.09725999917,171186.09725999917,171186.09725999917,
Smartphone_2 Energy,174067.8877399997,174067.8877399997,174067.8877399997,174067.8877399997,
App_Smartphone_2 Energy,157999.17757999807,157999.17757999807,157999.17757999807,157999.17757999807,
Smartphone_3 Energy,174652.52513999993,174652.52513999993,174652.52513999993,174652.52513999993,
App_Smartphone_3 Energy,168052.8733799992,168052.8733799992,168052.8733799992,168052.8733799992,
Smartphone_4 Energy,174844.16363999996,174844.16363999996,174844.16363999996,174844.16363999996,
App_Smartphone_4 Energy,171348.37787999967,171348.37787999967,171348.37787999967,171348.37787999967,
Execution time,330.0,330.0,330.0,330.0,
Delay_1,94.42846048109986,94.42846048109986,94.42846048109986,94.42846048109986,
PLAYER_GAME_STATE,0.04821428571434202,0.04821428571434202,0.04821428571434202,0.04821428571434202,
EEG,94.42846048109986,3.5922666494537134,3.5922666494537134,94.42846048109986,49.01036356527679,
CONCENTRATION,0.33420461167776516,0.33420461167776516,0.33420461167776516,0.3342046116777652,
SENSOR,104.9559858974393,104.9559858974393,104.9559858974393,104.9559858974393,
GLOBAL_GAME_STATE,0.05600000041727253,0.05600000041727253,0.05600000041727253,0.05600000041727252,
Cost of execution in cloud,6062.400000000445,6062.400000000445,6062.400000000445,6062.400000000445,
Total network usage,11562.5,11562.5,11562.5,11562.5,
