,1,Min,Max,Avg
Cloud Energy,3229330.5174999647,3229330.5174999647,3229330.5174999647,3229330.5174999647,
App_Cloud Energy,3063782.06499997,3063782.06499997,3063782.06499997,3063782.06499997,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_1 Energy,0.0,0.0,0.0,0.0,
Smartphone_2 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_2 Energy,0.0,0.0,0.0,0.0,
Smartphone_3 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_3 Energy,0.0,0.0,0.0,0.0,
Smartphone_4 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_4 Energy,0.0,0.0,0.0,0.0,
Execution time,198.0,198.0,198.0,198.0,
Delay_1,222.38822011714495,222.38822011714495,222.38822011714495,222.38822011714493,
PLAYER_GAME_STATE,0.1446428571427989,0.1446428571427989,0.1446428571427989,0.1446428571427989,
EEG,222.38822011714495,0.07666666666653847,0.07666666666653847,222.38822011714495,111.23244339190575,
CONCENTRATION,0.7033749999981886,0.7033749999981886,0.7033749999981886,0.7033749999981888,
SENSOR,0.38058333333309197,0.38058333333309197,0.38058333333309197,0.38058333333309197,
GLOBAL_GAME_STATE,0.1446426892279996,0.1446426892279996,0.1446426892279996,0.1446426892279996,
Cost of execution in cloud,801481.2400000021,801481.2400000021,801481.2400000021,801481.2400000021,
Total network usage,41341.0,41341.0,41341.0,41341.0,
