,1,Min,Max,Avg
Cloud Energy,3245534.7193877464,3245534.7193877464,3245534.7193877464,3245534.719387746,
App_Cloud Energy,3245534.7193877464,3245534.7193877464,3245534.7193877464,3245534.719387746,
Proxy Energy,183404.2900520018,183404.2900520018,183404.2900520018,183404.2900520018,
App_Proxy Energy,75974.61944857029,75974.61944857029,75974.61944857029,75974.61944857029,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_1 Energy,0.0,0.0,0.0,0.0,
Smartphone_2 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_2 Energy,0.0,0.0,0.0,0.0,
Smartphone_3 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_3 Energy,0.0,0.0,0.0,0.0,
Smartphone_4 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_4 Energy,0.0,0.0,0.0,0.0,
Execution time,197.0,197.0,197.0,197.0,
Delay_1,225.46700561447213,225.46700561447213,225.46700561447213,225.46700561447213,
PLAYER_GAME_STATE,5.257142857142527,5.257142857142527,5.257142857142527,5.257142857142527,
EEG,225.46700561447213,2.993809523809432,2.993809523809432,225.46700561447213,114.23040756914078,
CONCENTRATION,0.050000000000175834,0.050000000000175834,0.050000000000175834,0.05000000000017583,
SENSOR,0.9640476190427394,0.9640476190427394,0.9640476190427394,0.9640476190427393,
GLOBAL_GAME_STATE,0.0500004577636264,0.0500004577636264,0.0500004577636264,0.0500004577636264,
Cost of execution in cloud,824454.285714293,824454.285714293,824454.285714293,824454.285714293,
Total network usage,41810.5,41810.5,41810.5,41810.5,
