,1,Min,Max,Avg
Cloud Energy,2667580.3928571437,2667580.3928571437,2667580.3928571437,2667580.3928571437,
App_Cloud Energy,273179.5714285723,273179.5714285723,273179.5714285723,273179.5714285723,
Proxy Energy,203761.73530300174,203761.73530300174,203761.73530300174,203761.73530300174,
App_Proxy Energy,165662.87238142587,165662.87238142587,165662.87238142587,165662.87238142587,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_1 Energy,0.0,0.0,0.0,0.0,
Smartphone_2 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_2 Energy,0.0,0.0,0.0,0.0,
Smartphone_3 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_3 Energy,0.0,0.0,0.0,0.0,
Smartphone_4 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_4 Energy,0.0,0.0,0.0,0.0,
Execution time,169.0,169.0,169.0,169.0,
Delay_1,27.412857142856666,27.412857142856666,27.412857142856666,27.412857142856666,
PLAYER_GAME_STATE,0.12232142857146755,0.12232142857146755,0.12232142857146755,0.12232142857146755,
EEG,27.412857142856666,2.993809523809432,2.993809523809432,27.412857142856666,15.203333333333049,
CONCENTRATION,0.11999999999989086,0.11999999999989086,0.11999999999989086,0.11999999999989086,
SENSOR,4.385714285714357,4.385714285714357,4.385714285714357,4.385714285714357,
GLOBAL_GAME_STATE,0.10999999999990018,0.10999999999990018,0.10999999999990018,0.10999999999990018,
Cost of execution in cloud,5076.00000000022,5076.00000000022,5076.00000000022,5076.00000000022,
Total network usage,5422.0,5422.0,5422.0,5422.0,
