,1,Min,Max,Avg
Cloud Energy,3228905.501530599,3228905.501530599,3228905.501530599,3228905.501530599,
App_Cloud Energy,3158628.230102025,3158628.230102025,3158628.230102025,3158628.230102025,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,197003.01334600098,197003.01334600098,197003.01334600098,197003.01334600095,
App_Router Energy,136937.71201000156,136937.71201000156,136937.71201000156,136937.71201000156,
Smartphone_1 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_1 Energy,0.0,0.0,0.0,0.0,
Smartphone_2 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_2 Energy,0.0,0.0,0.0,0.0,
Smartphone_3 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_3 Energy,0.0,0.0,0.0,0.0,
Smartphone_4 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_4 Energy,0.0,0.0,0.0,0.0,
Execution time,203.0,203.0,203.0,203.0,
Delay_1,228.73214285714258,228.73214285714258,228.73214285714258,228.73214285714258,
PLAYER_GAME_STATE,3.9241670880997175,3.9241670880997175,3.9241670880997175,3.924167088099717,
EEG,228.73214285714258,2.9571428571427987,2.9571428571427987,228.73214285714258,115.84464285714269,
CONCENTRATION,0.07500000000595416,0.07500000000595416,0.07500000000595416,0.07500000000595416,
SENSOR,0.9640476190425554,0.9640476190425554,0.9640476190425554,0.9640476190425554,
GLOBAL_GAME_STATE,0.0500004577636264,0.0500004577636264,0.0500004577636264,0.0500004577636264,
Cost of execution in cloud,800878.6857142919,800878.6857142919,800878.6857142919,800878.6857142919,
Total network usage,41826.0,41826.0,41826.0,41826.0,
