,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,13400711.710924163,
Proxy Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,
Router Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,
Mobile Energy,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.4610000382,
Execution time,654.0,652.0,621.0,694.0,710.0,625.0,649.0,691.0,775.0,606.0,606.0,775.0,671.5,
Delay_1,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,104.94201680672312,
Delay_2,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,
MOTION_VIDEO_STREAM,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,0.14201680672340444,
DETECTED_OBJECT,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.14201680672340442,
OBJECT_LOCATION,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.1420168067234044,0.14201680672340442,
CAMERA,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,
Cost of execution in cloud,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,121578.40000000852,
Total network usage,33225.52,33225.52,33225.52,33225.52,33225.52,33225.52,33225.52,33225.52,33225.52,33225.52,33225.52,33225.52,33225.520000000004,
